id	spanish	english	catalan
spanish	Castellano	Spanish	Castellà
english	Inglés	English	Anglés
catala	Catalan	Catalan	Català
continue	Continuar	Continue	Continuar
newGame	Nueva Partida	New Game	Nova Partida
loadGame	Cargar Partida	Load Game	Carregar Partida
options	Opciones	Options	Opcions
exit	Salir	Exit	Sortir
general	General	General	General
graphics	Gráficos	Graphics	Gràfics
sound	Sonido	Sounds	Só
controls	Controles	Controls	Controls
pause	Pausa	Pause	Pausa
defaultSettings	Restablecer	Reset	Restablir
saveSettings	Guardar	Save	Desa
back	Volver	Back	Tornar
language	Lenguaje	Language	Llenguatge
extraInformation	Información extra	Extra Information	Informació adicional
hudSize	Tamaño del HUD	HUD Size	Mida del HUD
resolution	Resolución	Resolution	Resolució
fullScreen	Pantalla completa	FullScreen	Pantalla completa
quality	Calidad	Quality	Qualitat
vSync	VSync	VSync	VSync
textureQyality	Calidad de texturas	Texture Quality	Qualitat de textures
antiAlising	Anti-Alising	Anti-Alising	Anti-Alising
shadows	Sombras	Shadows	Ombres
gamma	Gama	Gamma	Gamma
masterSound	Maestro	Master	Mestre
fxSound	FX	FX	FX
musicAmbient	Ambiente	Ambient	Ambient
musicSound	Música	Music	Música
fast	Rápido	Fast	Ràpid
good	Bueno	Good	Bó
fantastic	Fantástico	Fantastic	Fantàstic
ultra	Ultra	Ultra	Ultra
low	Baja	Low	Baix
medium	Medio	Medium	Mitjà
high	Alto	High	Alt
hold	Mantener	Hold	Mantenir
press	Presionar	Press	Pressionar
open	Abrir	Open	Obrir
disabled	Desactivado	Disabled	Desactivat
close	Cerrar	Close	Tanca
buildings	Edificios	Buildings	Edificis
townHall	Ayuntamiento	Town Hall	Ajuntament
house	Casa	House	Casa
goldenMine	Mina	Golden Mine	Mina
farm	Granja	Farm	Granja
lumberMill	Aserradero	Lumber Mill	Aserreria
warehouse	Almacen	Warehouse	Magatzem
bridge	Puente	Bridge	Pont
barracks	Cuartel	Barracks	Barraques
castle	Castillo	Castle	Castell
church	Iglesia	Church	Església
fireStation	Estación de bomberos	Fire Station	Estació de bombers
gold	Oro: 	Gold: 	Or: 
foot	Comida: 	Foot: 	Menjar: 
wood	Madera: 	Wood: 	Fusta: 
population	Población: 	Population: 	Població: 
houseInfo	Casa: Sirve para aumentar la población.	House: Allows you yo have more people.	Casa: Serveix per aumentar la població.
townHallInfo	Ayuntamiento: Permite construir más edificios.	Town Hall: Allows you yo build other buildings	Ayuntament: Permet construir més edificis.
goldenMineInfo	Mina: Produce oro.	GoldMine: Produces gold.	Mina: Produeix or.
farmInfo	Granja: Produce alimento.	Farm: Produces food.	Granja: Produeix aliment.
lumberMillInfo	Aserradero: Produce madera.	LumberMill: Produces wood.	Aserradora: Produeix fusta.
barracksInfo	Barracones: Aumentan el daño de tus torres.	Barracks: Increases towers's damage output.	Barracons: Millora la força de les torres.
castleInfo	Castillo: Ganas la partida	Castle: You win the game.	Castell: Guanyes la partida.
churchInfo	Iglesia: Aumenta la felicidad.	Church: Max happines upgraded.	Esglesia: Aumenta la felicitat máxima.
fireStationInfo	Estación de bomberos: Apagan fuegos.	FireStation: Puts out the fire of buildings.	Estació de bombers: Apaguen focs.
warehouseInfo	Almacen: Aumenta la capacidad maxima de los recursos	Warehouse: Allows to storage more resources	Magatzem: Permet emagatzemar més recursos
towerInfo	Torre: Dispara a las unidades enemigas.	Tower: Shoots enemy units.	Torre: Dispara unitats enemiges.
skipTutorial	Omitir Tutorial	Skip Tutorial	Saltar Tutorial
tutorialDialog1	Hola y bienvenido a Settlemen.	Hello and welcome to Settlemen	Hola y benvingut a Settlemen.
tutorialDialog2	Clica en el botón inferior "Edificios" que señala la flecha, para desplegar el menú de edificaciones.	Click on the lower button "Buildings" indicated by the arrow, to display the buildings menu.	Fes clic al botó inferior "Edificis" que assenyala la fletxa, per desplegar el menú d'edificacions.
tutorialDialog3	Para empezar, haz click en el icono del ayuntamiento para seleccionar el edificio y luego haz click en el marco amarillo señalado en la pantalla para empezar a construirlo.	To begin, click on the icon of the town hall to select the building and then click on the yellow frame indicated on the screen to start building it.	Per començar, fes click a la icona de l'ajuntament per seleccionar l'edifici i després fes click en el marc groc assenyalat a la pantalla per començar a construir-lo.
